weight	trump	conservative
5.3919	0	2
0.280931	1	3
0.248756	1	4
0.796919	1	3
0.928781	0	2
0.314887	1	3
0.625437	1	2
0.563441	1	2
1.12849	1	3
0.314887	1	4
0.512853	1	2
2.05467	1	3
0.577751	1	3
0.322583	1	3
0.634566	0	2
1.29315	1	3
1.1979	1	3
0.796919	1	3
1.02583	1	2
0.217671	1	2
0.471855	1	3
0.825803	1	4
2.02151	1	3
0.757511	1	3
0.441209	1	2
0.522871	1	3
0.506781	1	3
0.322583	1	2
0.613608	1	2
0.354724	1	2
1.12871	1	2
0.320009	1	2
0.687301	1	2
0.320009	1	3
0.490991	1	3
0.328057	1	3
5.84345	1	2
0.843741	0	4
0.257601	1	2
1.01197	1	2
0.665461	1	3
0.504344	1	2
0.297921	1	2
0.927509	1	3
0.832187	0	3
0.419786	1	4
0.357017	1	3
0.838592	1	3
0.920379	1	4
0.683064	1	4
0.386563	1	2
0.516835	1	3
1.56781	1	4
1.31002	1	2
0.651505	1	3
4.53609	1	2
1.13839	1	4
0.47287	1	3
0.788035	1	3
0.378713	1	3
1.01939	1	4
0.556624	1	3
0.559103	1	3
2.1948	1	3
0.280931	1	2
1.28185	1	2
3.42066	1	2
0.514675	1	3
4.43169	1	2
0.559103	1	3
0.476338	1	3
0.509049	1	3
0.414148	0	3
0.509049	1	2
0.92214	1	3
0.314612	0	1
0.329677	1	2
0.942549	0	4
0.3975	1	2
0.346019	1	4
0.36707	1	2
0.41021	1	4
0.795038	1	3
0.795154	1	3
0.995777	1	3
0.415587	1	2
1.45228	1	4
1.38726	1	2
0.140028	1	2
0.456414	1	3
0.913682	1	3
0.404689	1	4
0.540414	1	2
0.921127	1	2
1.0789	1	3
0.559103	1	3
0.99163	1	4
1.02583	1	3
0.529594	1	2
0.918747	1	3
1.20256	1	3
3.74555	0	3
0.309303	1	3
0.461344	1	3
1.0629	1	2
0.181547	1	3
0.413773	0	3
0.630626	1	3
0.297921	1	2
0.490469	0	3
0.509049	1	3
0.718898	1	3
0.31428	1	4
0.559103	1	2
0.746483	1	4
0.559103	0	2
0.5452	1	4
0.426957	1	3
0.66482	1	2
2.61084	1	2
1.96479	1	2
0.322583	0	2
1.08622	1	3
2.14406	1	2
1.22098	1	4
0.475591	1	2
0.509049	1	3
1.14328	1	2
0.921676	1	4
0.358882	1	3
0.185938	1	2
1.12567	1	3
1.29237	1	4
0.737339	1	3
1.08998	1	3
1.20927	1	2
1.85355	1	3
0.356962	1	4
0.438636	0	2
0.900363	1	3
0.622599	1	3
0.900363	1	3
1.45228	1	3
2.81696	0	3
2.13389	1	2
2.08478	1	2
0.309365	1	4
0.463189	1	2
2.09707	1	2
5.38231	1	4
0.625682	1	4
0.407859	1	3
0.99425	1	2
0.475591	1	3
1.39015	1	2
3.61857	1	1
0.413622	1	3
0.23782	1	3
1.27166	1	3
0.443541	1	3
0.433234	1	3
0.589426	1	3
0.476338	1	3
0.41021	1	3
0.796919	1	4
0.394534	1	3
0.314887	1	2
0.955491	1	3
2.61353	1	3
0.427362	1	2
2.08117	1	2
0.580606	1	4
0.365313	1	3
2.32376	1	3
1.48437	1	3
1.55164	1	3
0.94919	1	3
1.08044	1	4
1.90802	1	2
3.44655	1	4
0.381212	1	3
1.47688	1	2
0.574442	1	3
2.48664	1	3
0.729942	1	3
0.649923	1	3
0.374215	1	3
0.386563	1	3
0.342017	1	3
0.3975	1	2
0.248756	1	3
1.19871	1	4
2.26701	1	3
0.207337	1	2
0.386563	1	3
2.56909	1	3
0.357017	1	3
1.10537	1	2
0.519601	1	3
1.06612	1	3
0.665069	1	2
0.354512	1	3
0.366972	1	3
0.708033	1	3
0.35663	1	2
0.725533	1	3
0.394534	1	3
3.43512	1	3
0.573597	1	3
1.14639	1	3
0.990722	1	3
0.303083	1	4
0.788683	0	3
0.358882	1	3
0.540414	1	3
0.43176	1	3
0.883767	1	3
0.638275	1	4
0.70506	1	3
0.319852	1	3
0.884044	1	3
3.43512	1	3
0.774776	1	3
0.31428	1	2
0.637133	1	3
0.555354	1	4
0.456317	1	2
0.830554	1	3
0.599915	1	2
0.484005	1	2
1.03451	1	2
2.84989	1	3
0.513894	1	4
1.05079	1	2
1.03828	1	2
0.559103	1	2
0.506781	1	3
0.40188	1	2
0.541394	1	3
2.48664	1	2
1.64665	1	2
0.746483	1	2
1.20779	0	0
0.386563	1	3
0.297921	0	3
0.576494	1	3
0.281219	0	2
0.586453	1	2
1.38064	1	2
0.750096	1	2
0.905932	1	2
2.14406	1	4
0.248756	1	3
0.354512	1	4
1.4067	1	3
2.66668	1	3
0.852321	1	3
0.789557	1	2
0.894877	1	4
0.808304	1	3
0.655268	1	2
0.780825	1	3
3.14205	0	4
0.328054	1	4
0.750238	1	3
1.97949	1	4
0.867692	1	4
2.936	1	4
0.546835	0	3
0.509049	1	4
0.825089	0	1
1.06416	1	2
1.10384	1	3
0.528412	1	3
1.01724	1	2
0.546835	1	2
4.8418	1	2
0.519601	1	2
0.5337	1	1
0.509149	1	2
1.06416	1	4
0.574442	1	3
0.519601	1	2
1.26132	1	3
0.365313	1	3
0.633591	1	3
0.481544	1	4
1.07183	0	2
0.919025	1	2
1.31011	1	2
1.30206	1	3
0.309365	1	3
0.900363	1	4
0.216006	1	2
0.303083	1	4
1.07183	1	2
0.400818	1	3
0.737339	0	2
0.394534	1	4
0.798987	1	2
0.638275	1	3
0.920385	1	2
0.828252	1	2
0.660218	1	2
2.99004	1	3
1.11812	0	3
0.209027	1	3
1.8139	1	3
0.796769	1	2
0.918747	1	3
0.789557	1	2
0.463438	1	4
0.689859	1	3
0.519601	1	3
0.900363	1	0
1.40912	1	3
7	1	2
0.528412	1	2
0.229728	1	4
0.41532	1	3
2.67125	1	3
0.92214	1	1
0.534021	1	3
0.599915	1	3
0.646724	1	3
0.708033	1	2
1.09661	1	3
0.275922	1	2
0.462825	1	3
0.884044	1	4
0.226534	1	2
0.969018	1	2
0.426957	0	2
1.50178	1	3
1.31616	1	2
1.497	1	2
1.27639	1	3
0.832187	1	3
1.06985	1	4
0.386563	1	3
2.38101	1	2
0.832187	1	3
0.378713	1	3
3.09384	1	2
0.651505	1	2
0.836916	1	2
1.92142	1	3
1.31902	1	4
1.77159	1	2
1.19036	1	3
0.322583	1	3
0.622599	1	3
1.71033	1	4
0.943107	1	3
0.433234	1	2
0.394392	1	3
0.386563	1	2
0.519601	0	3
0.497691	1	2
0.540414	1	4
0.573814	1	3
0.689859	1	3
0.325649	1	4
2.48664	1	3
0.921127	1	2
0.358882	1	3
2.936	1	3
0.098327	1	2
0.322583	1	2
0.625682	1	3
0.94919	1	2
0.462825	1	3
2.56727	1	4
0.633591	1	2
0.622982	1	4
0.995777	1	3
0.900363	1	3
1.42998	1	4
0.718898	1	2
2.2705	1	4
0.651319	1	2
0.877557	1	4
3.1426	1	4
0.280931	1	4
0.368135	1	3
1.20927	1	2
1.85355	0	1
0.443667	1	2
0.864671	1	3
0.689859	1	4
0.303083	1	4
3.39635	1	3
0.722709	1	3
0.487698	1	2
1.11812	1	2
0.476338	1	3
0.651319	1	3
0.37069	1	3
3.37216	1	2
0.757658	0	2
0.378713	1	3
0.511773	1	3
1.56655	1	3
0.750238	1	3
3.44655	1	2
3.15676	1	3
2.48664	1	2
1.15311	1	3
0.729547	0	2
0.734964	1	3
0.349566	1	3
1.13705	1	4
0.31428	1	3
1.64732	0	2
0.593686	1	4
0.390058	1	2
0.519601	1	3
0.919025	1	2
0.378713	1	3
0.923466	1	4
0.865566	1	3
0.746483	1	3
1.19036	1	3
1.13751	1	2
